               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.081116,            0.095725,           0.0025547,              0.8908,             0.92389,             0.93164,             0.46847,            0.072048,            0.089216,           0.0028771,             0.00307,             0.00307,             0.00307
                  37,            0.082162,             0.10853,           0.0033875,             0.85503,              0.8692,             0.89152,             0.41676,            0.076104,             0.09314,           0.0028088,            0.002872,            0.002872,            0.002872
                  38,            0.083231,             0.10905,           0.0035154,             0.90046,             0.93253,             0.93443,             0.47324,            0.070707,            0.089943,           0.0028365,            0.002674,            0.002674,            0.002674
                  39,            0.081434,              0.1108,           0.0026573,             0.86742,             0.92601,             0.91911,             0.47292,            0.071736,            0.090237,           0.0028328,            0.002476,            0.002476,            0.002476
                  40,            0.081741,             0.10968,            0.002526,              0.8973,             0.92935,             0.91377,             0.44887,            0.069862,            0.089101,           0.0027891,            0.002278,            0.002278,            0.002278
                  41,            0.080392,             0.10769,           0.0023063,             0.89571,              0.9368,             0.92598,             0.48726,            0.068377,            0.088681,           0.0027406,             0.00208,             0.00208,             0.00208
                  42,            0.078831,             0.11921,           0.0022916,             0.87697,             0.90103,             0.89914,             0.43723,            0.072231,            0.091353,           0.0027394,            0.001882,            0.001882,            0.001882
                  43,            0.079083,             0.10953,           0.0024296,             0.89054,              0.8965,              0.9139,             0.49614,             0.06842,            0.088663,           0.0026756,            0.001684,            0.001684,            0.001684
                  44,            0.079833,             0.11242,            0.003026,              0.8597,             0.93151,             0.92987,             0.47277,            0.069506,            0.089948,           0.0026381,            0.001486,            0.001486,            0.001486
                  45,            0.076134,             0.10422,           0.0025997,             0.90462,             0.95179,             0.93827,              0.4736,            0.067177,            0.088966,           0.0026288,            0.001288,            0.001288,            0.001288
                  46,            0.074455,             0.10799,           0.0023131,             0.86167,             0.93419,             0.94044,             0.47379,            0.069031,            0.089446,           0.0026211,             0.00109,             0.00109,             0.00109
                  47,            0.074929,             0.10218,            0.002139,             0.89557,             0.93949,             0.93241,             0.48989,            0.066308,            0.088443,           0.0025973,            0.000892,            0.000892,            0.000892
                  48,            0.075662,             0.11128,           0.0022181,             0.90153,             0.94226,             0.93342,             0.49381,            0.066451,            0.088061,            0.002591,            0.000694,            0.000694,            0.000694
                  49,            0.076567,             0.11274,           0.0023929,             0.89955,             0.93939,              0.9283,             0.49229,            0.066844,            0.088065,           0.0025933,            0.000496,            0.000496,            0.000496
